"Artist ID","Artist Name","Artist Genres","Spotify ID"
"0","The Temper Trap","indietronica,modern rock,shimmer pop","4W48hZAnAHVOC2c8WH8pcq"
"1","Frankie Valli & The Four Seasons","adult standards,bubblegum pop,doo-wop,lounge,northern soul,rock-and-roll,rockabilly","6mcrZQmgzFGRWf7C0SObou"
"2","Foxes","electropop,metropopolis,uk pop","7qRll6DYV06u2VuRPAVqug"
"3","Captain & Tennille","mellow gold,soft rock,yacht rock","7BEfMxbaqx6dOpbtlEqScm"
"4","Rita Ora","dance pop,pop,uk pop","5CCwRZC6euC8Odo6y9X8jr"
"5","Coldplay","permanent wave,pop","4gzpq5DPGxSnKTe4SA8HAU"
"6","Faith Hill","contemporary country,country,country dawn,country road","25NQNriVT2YbSW80ILRWJa"
"7","The Police","album rock,classic rock,permanent wave,rock","5NGO30tJxFlKixkPSgXcFE"
"8","Chicago","album rock,classic rock,mellow gold,rock,soft rock,yacht rock","3iDD7bnsjL9J4fO298r0L0"
"9","Urban Cookie Collective","diva house,eurodance,hip house","1QYMj6ouUhi6yis1HE8M68"
"10","Guns N' Roses","glam metal,hard rock,rock","3qm84nBOXUEQ2vnTfUTTFC"
"11","Rod Stewart","mellow gold,soft rock","2y8Jo9CKhJvtfeKOsYzRdT"
"12","We Five","bubblegum pop,classic garage rock,merseybeat","1XICntAIOLc3OPozkykv39"
"13","Christine Anu","australian indigenous music,australian pop,australian rock","0VyhYyWWF5yYomHQR4hCMl"
"14","Vance Joy","folk-pop,modern rock","10exVja0key0uqUkk6LJRT"
"15","Guy Mitchell","deep adult standards","1YAtBHWaWzZnkaoSFHGTBV"
"16","Wham!","new romantic,new wave,new wave pop,soft rock","5lpH0xAS4fVfLkACg9DAuM"
"17","Tori Kelly, Ed Sheeran","pop,post-teen pop,pop,singer-songwriter pop,uk pop","1vSN1fsvrzpbttOYGsliDr"
"18","Kungs, Cookin' On 3 Burners","edm,pop dance,uk dance,bboy,instrumental funk","7keGfmQR4X5w0two1xKZ7d"
"19","The Monkees","album rock,beatlesque,bubblegum pop,classic rock,folk rock,mellow gold,rock,rock-and-roll,singer-songwriter,soft rock,sunshine pop","320EPCSEezHt1rtbfwH6Ck"
"20","Delta Goodrem","australian pop","2g6fa86fL6oLcoDqanBbuR"
"21","The Angels","australian rock","2PeqTZKroEc2oDwTfmB2al"
"22","Sister Hazel","neo mellow,pop rock,post-grunge","7m60UAnbgFFNuJbmS6OxTk"
"23","Garbage","alternative rock,dance rock,electronic rock,permanent wave","6S0GHTqz5sxK5f9HtLXn9q"
"24","Bobby Bloom","","7iH90f18JHtgA6f4hjJpo2"
"25","Billie Eilish","art pop,pop","6qqNVTkY8uBg9cP3Jd7DAH"
"26","John Farnham","australian pop,australian rock","1QxaPWG1POM8Ul6WwsHq4y"
"27","Silverchair","alternative metal,alternative rock,australian alternative rock,australian psych,australian rock,grunge,nu metal,post-grunge","4iudEcmuPlYNdbP3e1bdn1"
"28","Boston","album rock,classic rock,glam metal,hard rock,mellow gold,rock,soft rock","29kkCKKGXheHuoO829FxWK"
"29","Taylor Swift, Maren Morris","pop,classic texas country,contemporary country","06HL4z0CvFAxyc27GXpf02"
"30","Hilltop Hoods","australian hip hop","7dlqUnjoF2U2DkNDMhcgG4"
"31","Fleetwood Mac","album rock,classic rock,rock,soft rock,yacht rock","08GQAI4eElDnROBrJRGE0X"
"32","Salt-N-Pepa","girl group,golden age hip hop,hip hop,hip pop,old school hip hop,queens hip hop","7wqtxqI3eo7Gn1P7SpP6cQ"
"33","P!nk","dance pop,pop","1KCSPY1glIKqW2TotWuXOR"
"34","Gavin DeGraw","neo mellow,pop rock","5DYAABs8rkY9VhwtENoQCz"
"35","The Look","","5eytiLIJP1kOyllcpWTxea"
"36","Yellowstone And Voice","beatlesque","0jwZXCdmqh8Ox5p2tOZF55"
"37","Jimmy Soul","","7k4MYPtpz3fAViMuuLi9ry"
"38","Jason Donovan","australian dance,australian pop,europop,new wave pop","5bnNgwp3nooah9yHAHsnR4"
"39","Deborah Conway","australian rock","3l1Tuoqd0JXoaOrAiOyrB0"
"40","Jonas Brothers","boy band,pop","7gOdHgIoIKoe4i9Tta6qdD"
"41","Paul Russell","indie r&b","4zoRNhOhsGX3w8yBAnFSQ8"
"42","Kelly Clarkson","dance pop,pop,talent show","3BmGtnKgCSGYIUhmivXKWX"
"43","En Vogue","contemporary r&b,girl group,hip pop,new jack swing,r&b,urban contemporary","5fikk4h5qbEebqK2Fc6e48"
"44","Musical Creations Karaoke","karaoke","1Lc0W6fVtIyzVXEOV6BbYi"
"45","Eskimo Joe","australian alternative rock,australian rock,perth indie","3yW6jTzGjHUUkLvLkjLOVn"
"46","Ben Lee","australian alternative rock,australian pop,australian rock","06y1hH4hu3rcTUXHJevPCf"
"47","Young Divas, Savage","australian pop,nz hip hop","3KT9AeoTUPHKnntwQxlP9S"
"48","Conway Twitty","arkansas country,classic country pop,country,country rock","7gi3jmwpUpNWdswT8eEprF"
"49","Groove Armada","big beat,electronica,nu skool breaks,trip hop","67tgMwUfnmqzYsNAtnP6YJ"
"50","Lifehouse","neo mellow,pop rock,post-grunge","5PokPZn11xzZXyXSfnvIM3"
"51","Keith Urban, Carrie Underwood","contemporary country,country,country road,classic oklahoma country,contemporary country,country,country dawn,dance pop,pop","0u2FHSq3ln94y5Q57xazwf"
"52","Dr. Hook","country rock,mellow gold,soft rock","2Mhi3jfuRSdbVZPdjqsnnN"
"53","Craig David","british soul","2JyWXPbkqI5ZJa3gwqVa0c"
"54","Katy Perry","pop","6jJ0s89eD6GaHleKKya26X"
"55","Cyndi Lauper","dance pop,new wave pop,permanent wave,soft rock","2BTZIqw0ntH9MvilQ3ewNY"
"56","Korn","alternative metal,funk metal,hard rock,nu metal,post-grunge,rap metal,rock","3RNrq3jvMZxD9ZyoOZbQOD"
"57","Bill & Boyd","classic australian country,classic nz pop","7bzzp2TDqSg6rXfOv501Eb"
"58","The Buggles","early synthpop,new wave pop,zolo","057gc1fxmJ2vkctjQJ7Tal"
"59","Lady Gaga","art pop,dance pop,pop","1HY2Jd0NmPuamShAr6KMms"
"60","Conor Maynard","post-teen pop,talent show,uk pop,viral pop","6mU8ucezzms5I2kNH6HNlu"
"61","Maroon 5","pop","04gDigrS5kc9YWfZHwBETP"
"62","Janet Jackson","dance pop,r&b,urban contemporary","4qwGe91Bz9K2T8jXTZ815W"
"63","Lizzo","escape room,minnesota hip hop,pop,trap queen","56oDRnqbIiwx4mymNEv7dS"
"64","Robyn","dance pop,electropop,neo-synthpop,scandipop,swedish electropop,swedish pop","6UE7nl9mha6s8z0wFQFIZ2"
"65","Amerie","contemporary r&b,hip pop,neo soul,r&b,urban contemporary","08rMCq2ek1YjdDBsCPVH2s"
"66","The Darkness","glam metal,hard rock","5r1bdqzhgRoHC3YcCV6N5a"
"67","Lou Christie","bubblegum pop,classic garage rock,doo-wop,merseybeat","5bLcI9Jo6RyrrHzG9veVyn"
"68","Boz Scaggs","classic rock,mellow gold,singer-songwriter,soft rock,yacht rock","46njgd2Rq9tZc4ZjeQMgbh"
"69","Dave Dobbyn, Herbs","australian rock,classic nz pop,kiwi rock,nz singer-songwriter,classic nz pop,nz reggae","5bYfbDXaMVCxEt7hOAvEWc"
"70","Cyrus Villanueva","australian pop,australian talent show","6tVsUWjip0Tnp1EyCRX5XH"
"71","Mental As Anything","australian rock","6PFydyUHMKD2jm5NXzRPiK"
