"Track ID","Track Name","Album ID","Artist ID(s)","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature","ISRC","Label","Spotify ID"
"0","Fader","0","0","192373","https://p.scdn.co/mp3-preview/14264bd1501d27236aaa250633253911b2f3de50?cid=9950ac751e34487dbbe027c4fd7f8e99","False","0","0.532","0.76","11","-7.123","0","0.0353","0.000101","0.69","0.0752","0.158","134.974","4","GBZUZ0900014","Liberation Records","0vNPJrUrBnMFdCs8b2MTNG"
"1","Sherry","1","1","152160","https://p.scdn.co/mp3-preview/e3f765262ebc349e663182d0e19bb24766314f39?cid=9950ac751e34487dbbe027c4fd7f8e99","False","54","0.703","0.478","7","-8.062","1","0.0441","0.626","0.0","0.113","0.734","117.562","4","USRH10175197","Rhino","0NpvdCO506uO58D4AbKzki"
"2","I Took A Pill In Ibiza - Seeb Remix","2","1038, 3057","197933","https://p.scdn.co/mp3-preview/7bae6aac6d699135151854e9e3e5ae78f1a244f5?cid=9950ac751e34487dbbe027c4fd7f8e99","True","63","0.664","0.714","7","-6.645","0","0.111","0.0353","8.42e-06","0.0843","0.71","101.969","4","USUM71509342","Monster Mountain, LLC / Island","1MtUq6Wp1eQ8PC6BbPCj8P"
"3","Let Go for Tonight","3","2","238413","https://p.scdn.co/mp3-preview/84a003d72f9f146831bbfa39587ebc50ee76e0f0?cid=9950ac751e34487dbbe027c4fd7f8e99","False","39","0.543","0.808","9","-6.615","0","0.0632","0.0429","1.64e-06","0.326","0.299","140.064","4","GBARL1301249","Sign Of The Times Records","59lq75uFIqzUZcgZ4CbqFG"
"4","The Way I Want To Touch You","4","3","163586","https://p.scdn.co/mp3-preview/9e7a4a7b7dc56dc3f08e1c9d84e78b52ddefb5cb?cid=9950ac751e34487dbbe027c4fd7f8e99","False","35","0.664","0.585","0","-7.062","0","0.0248","0.624","0.000112","0.343","0.597","111.29","4","USAM10110025","A&M","7KdcZQ3GJeGdserhK61kfv"
"5","Still Got Time (feat. PARTYNEXTDOOR)","5","856, 3058","188490","https://p.scdn.co/mp3-preview/765e08c9b8930c6d0338c2d3d75c5b1c3efff338?cid=9950ac751e34487dbbe027c4fd7f8e99","False","53","0.748","0.627","7","-6.029","1","0.0639","0.131","0.0","0.0852","0.524","120.963","4","USRC11700675","RCA Records Label","000xQL6tZNLJzIrtIgxqSl"
"6","Your Song","6","4","180160","https://p.scdn.co/mp3-preview/d57008f417a1466ac0ab02020560d4d61d904e80?cid=9950ac751e34487dbbe027c4fd7f8e99","False","60","0.853","0.571","1","-5.845","1","0.0543","0.133","0.0","0.0564","0.958","117.991","4","GBAHT1700323","Atlantic Records UK","46xkXPGjR9Ig9BcaTUNus3"
"7","Fix You","7","5","295533","https://p.scdn.co/mp3-preview/4ee64ea0fcfc1e6142d3b1e76464e95834fa87dd?cid=9950ac751e34487dbbe027c4fd7f8e99","False","83","0.209","0.417","3","-8.74","1","0.0338","0.164","0.00196","0.113","0.124","138.178","4","GBAYE0500605","Parlophone Records Limited","7LVHVU3tWfcxj5aiPFEW4Q"
"8","There You'll Be - 2007 Remaster","8","6","220840","https://p.scdn.co/mp3-preview/a3b43c90cfdf09ed61c5b1622f4a4e6a1f6a00a2?cid=9950ac751e34487dbbe027c4fd7f8e99","False","44","0.325","0.532","8","-7.208","1","0.0308","0.496","0.0","0.134","0.162","129.021","4","USWB10704273","Warner Records/Nashville","1s2khOWzC99udpUaPICLJI"
"9","Every Breath You Take - Remastered 2003","9","7","253886","https://p.scdn.co/mp3-preview/92d7997134bb18b99eb5fdc65926e4ef613f9781?cid=9950ac751e34487dbbe027c4fd7f8e99","False","3","0.813","0.46","1","-9.78","1","0.0346","0.56","0.0105","0.0724","0.729","117.387","4","GBAAM0201110","A&M","2sXp9Qmvc7mRaDBjBgcGGi"
